Underlying,Security Type,Last Trading Day,Strike,Put/Call,Currency,Action,Quantity,Price,Time,Date,Exch.,Account,Order Ref.,Clearing,More Info,Trading Class,
AMZN,STK,,,,USD,SLD,1,3072.00,10:12:00,20201111,ISLAND,U806698,,,,,
AMZN,STK,,,,USD,SLD,4,3070.00,10:12:00,20201111,ISLAND,U806698,,,,,
AMZN,STK,,,,USD,SLD,2,3059.79,14:42:10,20201111,ISLAND,U806698,,,,,
AMZN,STK,,,,USD,BOT,4,3105.72,15:47:58,20201111,ISLAND,U806698,,,,,
AMZN,STK,,,,USD,BOT,4,3105.72,15:47:58,20201111,ISLAND,U806698,,,,,
AMZN,STK,,,,USD,SLD,6,3110.57,16:08:16,20201111,IBKRATS,U806698,,,,,
AMZN,STK,,,,USD,SLD,5,3103.65,16:11:13,20201111,IEX,U806698,,,,,
AMZN,STK,,,,USD,BOT,5,3138.00,11:02:22,20201113,ISLAND,U806698,,,,,
AMZN,STK,,,,USD,BOT,5,3114.78,18:02:46,20201113,ISLAND,U806698,ChartTrader1185856501,,,,
AMZN,STK,,,,USD,SLD,5,3130.12,21:45:17,20201113,IBKRATS,U806698,ChartTrader1722740369,,,,
KWEB,BAG,20201218,75,Call,USD,BOT,1,72.69,21:57:41,20201113,SMART,U806698,OptTrader,IB,,,
KWEB,OPT,20201218,75,Call,USD,SLD,1,4.57,21:57:41,20201113,PHLX,U806698,OptTrader,,,KWEB,
KWEB,STK,,,,USD,BOT,100,77.26,21:57:41,20201113,PHLX,U806698,OptTrader,,,,
KWEB,BAG,20201218,75,Call,USD,BOT,1,72.67,21:57:41,20201113,SMART,U806698,OptTrader,IB,,,
KWEB,OPT,20201218,75,Call,USD,SLD,1,4.58,21:57:41,20201113,CBOE,U806698,OptTrader,,,KWEB,
KWEB,STK,,,,USD,BOT,100,77.25,21:57:41,20201113,CBOE,U806698,OptTrader,,,,
LIT,BAG,20201218,50,Call,USD,BOT,1,48.12,21:58:49,20201113,SMART,U806698,,IB,,,
LIT,OPT,20201218,50,Call,USD,SLD,1,1.77,21:58:49,20201113,CBOE,U806698,,,,LIT,
LIT,STK,,,,USD,BOT,100,49.89,21:58:49,20201113,CBOE,U806698,,,,,
SLV,BAG,20201120,23,Call,USD,BOT,1,22.49,21:59:20,20201113,SMART,U806698,,IB,,,
SLV,OPT,20201120,23,Call,USD,SLD,1,0.44,21:59:21,20201113,PHLX,U806698,,,,SLV,
SLV,STK,,,,USD,BOT,100,22.93,21:59:21,20201113,PHLX,U806698,,,,,
SLV,BAG,20201120,23,Call,USD,BOT,2,22.4806,21:59:21,20201113,SMART,U806698,,IB,,,
SLV,OPT,20201120,23,Call,USD,SLD,2,0.44,21:59:21,20201113,CBOE,U806698,,,,SLV,
SLV,STK,,,,USD,BOT,200,22.9206,21:59:21,20201113,CBOE,U806698,,,,,
SLV,BAG,20201120,23,Call,USD,BOT,1,22.49,21:59:21,20201113,SMART,U806698,,IB,,,
SLV,OPT,20201120,23,Call,USD,SLD,1,0.44,21:59:21,20201113,EDGX,U806698,,,,SLV,
SLV,STK,,,,USD,BOT,100,22.93,21:59:21,20201113,EDGX,U806698,,,,,
TSM,OPT,20201120,88,Call,USD,BOT,1,11.30,21:41:03,20201116,EMERALD,U806698,,,,TSM,
TSM,STK,,,,USD,SLD,100,99.12,21:41:23,20201116,IBKRATS,U806698,,,,,
