Underlying,Security Type,Last Trading Day,Strike,Put/Call,Currency,Action,Quantity,Price,Time,Date,Exch.,Account,Order Ref.,Clearing,More Info,Trading Class,
AMZN,STK,,,,USD,SLD,10,3096.01,20:14:00,20201123,ISLAND,U806698,,,,,
AMZN,STK,,,,USD,BOT,10,3095.30,19:58:10,20201123,ISLAND,U806698,,,,,
AMZN,STK,,,,USD,SLD,10,3087.3938,18:20:59,20201123,DARK,U806698,,,,,
AMZN,STK,,,,USD,BOT,10,3080.00,17:59:45,20201123,ISLAND,U806698,,,,,
AMZN,STK,,,,USD,SLD,10,3129.03,15:44:45,20201123,IBKRATS,U806698,,,,,
AMZN,STK,,,,USD,BOT,7,3122.52,17:37:27,20201120,ISLAND,U806698,,,,,
AMZN,STK,,,,USD,BOT,3,3122.52,17:37:27,20201120,ISLAND,U806698,,,,,
AMZN,STK,,,,USD,SLD,20,3119.33,21:01:14,20201119,ISLAND,U806698,ChartTrader414632411,,,,
AMZN,STK,,,,USD,BOT,20,3115.67,18:43:43,20201119,ISLAND,U806698,ChartTrader1974906513,,,,
AMZN,STK,,,,USD,SLD,30,3120.59,18:40:53,20201119,IBKRATS,U806698,ChartTrader364293632,,,,
AMZN,STK,,,,USD,BOT,30,3117.36,18:28:53,20201119,ISLAND,U806698,ChartTrader2058791517,,,,
AMZN,OPT,20201218,3000,Call,USD,SLD,1,177.07,17:20:21,20201119,NASDAQOM,U806698,,,,AMZN,
AMZN,STK,,,,USD,BOT,50,3109.98,17:19:07,20201119,IBKRATS,U806698,,,,,
AMZN,STK,,,,USD,BOT,2,3136.19,21:19:24,20201118,ISLAND,U806698,ChartTrader1555399010,,,,
AMZN,STK,,,,USD,BOT,2,3136.19,21:19:25,20201118,ISLAND,U806698,ChartTrader1555399010,,,,
AMZN,STK,,,,USD,BOT,26,3136.19,21:19:25,20201118,ISLAND,U806698,ChartTrader1555399010,,,,
AMZN,STK,,,,USD,SLD,1,3137.94,21:17:03,20201118,ISLAND,U806698,ChartTrader380993785,,,,
AMZN,STK,,,,USD,SLD,19,3137.86,21:17:03,20201118,ISLAND,U806698,ChartTrader380993785,,,,
AMZN,STK,,,,USD,BOT,27,3127.65,17:11:49,20201118,ISLAND,U806698,ChartTrader1857374120,,,,
AMZN,STK,,,,USD,BOT,8,3127.65,17:11:49,20201118,ISLAND,U806698,ChartTrader1857374120,,,,
LAD,BAG,,,,USD,BOT,1,-1.10,18:12:20,20201119,SMART,U806698,,IB,,,
LAD,OPT,20201120,260,Call,USD,BOT,1,14.87,18:12:20,20201119,ISE,U806698,,,,LAD,
LAD,OPT,20201218,270,Call,USD,SLD,1,15.97,18:12:20,20201119,ISE,U806698,,,,LAD,
SLV,BAG,,,,USD,BOT,1,-0.55,18:13:34,20201119,SMART,U806698,,IB,,,
SLV,OPT,20201218,23,Call,USD,SLD,1,0.58,18:13:34,20201119,PHLX,U806698,,,,SLV,
SLV,OPT,20201120,23,Call,USD,BOT,1,0.03,18:13:34,20201119,PHLX,U806698,,,,SLV,
SLV,BAG,,,,USD,BOT,4,-0.55,18:13:41,20201119,SMART,U806698,,IB,,,
SLV,OPT,20201218,23,Call,USD,SLD,4,0.59,18:13:41,20201119,PHLX,U806698,,,,SLV,
SLV,OPT,20201120,23,Call,USD,BOT,4,0.04,18:13:41,20201119,PHLX,U806698,,,,SLV,
SPY,BAG,,,,USD,BOT,1,1.56,18:15:57,20201119,SMART,U806698,,IB,,,
SPY,OPT,20201120,343,Call,USD,BOT,1,13.06,18:15:57,20201119,EMERALD,U806698,,,,SPY,
