Underlying,Security Type,Last Trading Day,Strike,Put/Call,Currency,Action,Quantity,Price,Time,Date,Exch.,Account,Order Ref.,Clearing,More Info,Trading Class,
SPY,OPT,20201218,350,Call,USD,SLD,1,11.50,18:15:57,20201119,EMERALD,U806698,,,,SPY,
SPY,BAG,20201218,350,Call,USD,BOT,1,344.38,17:48:22,20201119,SMART,U806698,,IB,,,
SPY,OPT,20201218,350,Call,USD,SLD,1,11.38,17:48:22,20201119,PHLX,U806698,,,,SPY,
SPY,STK,,,,USD,BOT,100,355.76,17:48:22,20201119,PHLX,U806698,,,,,
TMO,STK,,,,USD,SLD,100,442.67,19:27:32,20201123,IBKRATS,U806698,,,,,
TMO,OPT,20201218,450,Call,USD,BOT,1,9.50,19:27:09,20201123,CBOE,U806698,,,,TMO,
TMO,STK,,,,USD,SLD,5,452.2735,21:56:04,20201119,DARK,U806698,,,,,
TMO,STK,,,,USD,BOT,40,452.30,21:52:33,20201119,NYSE,U806698,ChartTrader112646904,,,,
TMO,STK,,,,USD,BOT,10,452.30,21:52:33,20201119,NYSE,U806698,ChartTrader112646904,,,,
TMO,OPT,20201218,450,Call,USD,SLD,1,17.29,17:25:13,20201119,BATS,U806698,,,,TMO,
TMO,STK,,,,USD,BOT,5,455.24,17:24:34,20201119,NYSE,U806698,,,,,
TMO,STK,,,,USD,BOT,50,456.91,16:46:24,20201119,IBKRATS,U806698,,,,,
TMO,STK,,,,USD,SLD,25,463.77,17:20:39,20201118,IBKRATS,U806698,,,,,
TMO,STK,,,,USD,SLD,27,463.81,17:19:41,20201118,NYSE,U806698,ChartTrader1907706043,,,,
TMO,STK,,,,USD,SLD,73,463.81,17:19:41,20201118,NYSE,U806698,ChartTrader1907706043,,,,
TMO,OPT,20210115,500,Call,USD,BOT,1,8.50,17:18:57,20201118,BATS,U806698,,,,TMO,
TREX,BAG,20201218,70,Call,USD,BOT,1,68.40,18:43:00,20201119,SMART,U806698,,IB,,,
TREX,OPT,20201218,70,Call,USD,SLD,1,6.33,18:43:00,20201119,PHLX,U806698,,,,TREX,
TREX,STK,,,,USD,BOT,100,74.73,18:43:00,20201119,PHLX,U806698,,,,,
TREX,BAG,20201218,70,Call,USD,BOT,1,68.40,18:43:00,20201119,SMART,U806698,,IB,,,
TREX,OPT,20201218,70,Call,USD,SLD,1,6.29,18:43:00,20201119,CBOE,U806698,,,,TREX,
TREX,STK,,,,USD,BOT,100,74.69,18:43:00,20201119,CBOE,U806698,,,,,
WDAY,STK,,,,USD,SLD,100,230.72,18:13:20,20201119,ISLAND,U806698,,,,,
WDAY,OPT,20201120,220,Call,USD,BOT,1,14.8,18:06:30,20201119,EMERALD,U806698,,,,WDAY,
XLK,BAG,,,,USD,BOT,1,0.15,18:09:27,20201119,SMART,U806698,,IB,,,
XLK,OPT,20201120,117,Call,USD,BOT,1,4.05,18:09:27,20201119,EDGX,U806698,,,,XLK,
XLK,OPT,20201218,120,Call,USD,SLD,1,3.90,18:09:27,20201119,EDGX,U806698,,,,XLK,
